Re,etah
16.89265203,0.917498225
19.42336142,0.914331971
22.33319956,0.907509189
25.6789642,0.902815572
29.52596203,0.894531222
33.94928343,0.88632289
39.03526816,0.878695998
44.88319065,0.869630311
51.60719773,0.859171822
59.33853675,0.848350188
68.22811737,0.836700163
78.4494572,0.825210122
90.20206878,0.812940569
103.7153538,0.799470393
119.2530811,0.784865626
137.1185347,0.770083844
157.6604344,0.753406928
181.2797418,0.73581823
208.4374873,0.717399078
239.6637687,0.697428964
275.5680985,0.675674949
316.8513009,0.652716439
364.3191917,0.628362063
418.8983068,0.601441168
481.6539875,0.573687014
553.8111755,0.544069871
636.7783223,0.513017432
732.1748814,0.482067931
841.8629187,0.452203268
967.9834585,0.422481411
1112.998274,0.395623788
1279.737942,0.369407819
1471.457088,0.344730373
1691.89792,0.322072361
1945.363269,0.301597856
2236.800581,0.281450299
2571.898481,0.262800025
2957.197818,0.246235358
3400.219332,0.230581897
3909.610455,0.216671269
4495.314101,0.204187217
5168.762745,0.193311435
5943.101574,0.184178516
6833.445075,0.176084741
7857.172053,0.169612303
9034.264853,0.164038022
10335.1021,0.159361506
11943.89368,0.155121886
13733.22337,0.151326006
15790.61479,0.14770809
18156.22659,0.144509327
20876.23367,0.141135678
24003.72842,0.137999715
27599.75708,0.134933432
31734.51131,0.13193528
36488.69825,0.129152483
41955.1159,0.126282781
48240.46443,0.123548004
55467.42891,0.120942113
63777.07401,0.118254841
73331.59745,0.115760594
84317.49604,0.113253686
92150.61458,0.111655527
